epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
195	0.2	-0.5625	-0.607	81.5	80.9	194999	-0.3077801	0.027836345	13667.5352211	0.048051566
196	0.4	-0.6333333	-0.234	80.166664	63.8	195999	-0.30559272	0.027403016	13735.8111911	0.049833722
197	0.3	-0.70250005	-0.409	87.083336	71.2	196999	-0.30550978	0.026857339	13808.3616099	0.050084967
198	0.4	-0.4133871	-0.24799995	16.435484	5.8	197999	-0.31211287	0.026659911	13863.3330171	0.052769165
199	0.4	-0.010512805	-0.23599997	24.923077	4.6	198999	-0.30373058	0.024434777	13917.516391	0.052377477
200	0.1	-0.2626119	-0.8389999	7.8432837	4.9	199999	-0.32458854	0.025823303	13974.3023059	0.054752816
201	0.4	-0.41937494	-0.22899997	30.1875	23.7	200999	-0.34311768	0.02735181	14034.3136601	0.05236839
202	0.0	-0.25999996	-1.0	17.648148	100.0	201999	-0.3811843	0.02697538	14119.4815609	0.05173164
203	0.0	-0.98600006	-1.0	98.6	100.0	202999	-0.43774602	0.026234318	14200.9335511	0.052242365
204	0.0	-1.0	-1.0	100.0	100.0	203999	-0.4491484	0.024913834	14279.4640031	0.049165152
205	0.0	-1.0	-1.0	100.0	100.0	204999	-0.42820898	0.022991702	14358.0462341	0.049015906
206	0.0	-1.0	-1.0	100.0	100.0	205999	-0.38635254	0.022161568	14434.295593	0.04748939
207	0.1	-0.53000003	-0.932	33.8	14.2	206999	-0.33814833	0.021608867	14486.2059751	0.047768075
208	0.3	-0.2962222	-0.43699998	23.822222	4.7	207999	-0.29277644	0.021584993	14538.12112	0.050103653
209	0.5	-0.40124995	-0.028999995	31.53125	53.4	208999	-0.25567952	0.02068881	14603.8170781	0.050643668
210	0.0	-0.44941172	-1.088	57.294117	98.9	209999	-0.2209888	0.022242002	14683.5089331	0.0491015
211	0.4	-0.67266667	-0.50899994	67.666664	31.9	210999	-0.19550365	0.020620137	14744.1794891	0.05084253
212	0.0	-0.57352936	-1.0	58.058823	100.0	211999	-0.17975323	0.021335049	14822.0100679	0.047983117
213	0.4	-0.57374996	-0.21199998	64.0625	61.6	212999	-0.17533274	0.022219483	14887.042459	0.0473403
214	0.3	0.013043507	-0.409	42.782608	71.2	213999	-0.22467862	0.024261378	14957.868413	0.049350206
